ip;port;timeout;poll_period;reg_type;reg_address;quantity;bit_number;value_type;word_order;byte_order;scale;name;topic
10.188.20.24;504;3;5;3;19000;2;;float32;big;big;1;u2-l1-n;umg2-mb4iot
10.188.20.24;504;3;5;3;19002;2;;float32;big;big;1;u2-l2-n;umg2-mb4iot
10.188.20.24;504;3;5;3;19002;2;;float32;big;big;1;u2-l3-n;umg2-mb4iot
